year,governorate,production_tonnes
2002,Gabes,18000.0
2003,Gabes,17500.0
2004,Gabes,20000.0
2005,Gabes,21000.0
2006,Gabes,20000.0
2007,Gabes,18670.0
2008,Gabes,21100.0
2009,Gabes,21680.0
2010,Gabes,25850.0
2011,Gabes,26040.0
2012,Gabes,26080.0
2013,Gabes,27850.0
2014,Gabes,25300.0
2015,Gabes,30230.0
2016,Gabes,27100.0
2017,Gabes,27900.0
2018,Gabes,19342.0
2019,Gabes,22750.0
2020,Gabes,30000.0
2021,Gabes,25000.0
2022,Gabes,25000.0
2023,Gabes,22000.0
2024,Gabes,22000.0
2002,Gafsa,4810.0
2003,Gafsa,4920.0
2004,Gafsa,4920.0
2005,Gafsa,5420.0
2006,Gafsa,6320.0
2007,Gafsa,6120.0
2008,Gafsa,6010.0
2009,Gafsa,7070.0
2010,Gafsa,6680.0
2011,Gafsa,7000.0
2012,Gafsa,7630.0
2013,Gafsa,7160.0
2014,Gafsa,7880.0
2015,Gafsa,6950.0
2016,Gafsa,9030.0
2017,Gafsa,9300.0
2018,Gafsa,9309.0
2019,Gafsa,9038.0
2020,Gafsa,11500.0
2021,Gafsa,11700.0
2022,Gafsa,11700.0
2023,Gafsa,12000.0
2024,Gafsa,12500.0
2002,Kebili,61000.0
2003,Kebili,58050.0
2004,Kebili,65030.0
2005,Kebili,58000.0
2006,Kebili,69000.0
2007,Kebili,67290.0
2008,Kebili,78000.0
2009,Kebili,91000.0
2010,Kebili,97000.0
2011,Kebili,112000.0
2012,Kebili,115000.0
2013,Kebili,114000.0
2014,Kebili,135000.0
2015,Kebili,150000.0
2016,Kebili,159990.0
2017,Kebili,200000.0
2018,Kebili,194000.0
2019,Kebili,240000.0
2020,Kebili,224000.0
2021,Kebili,250000.0
2022,Kebili,265000.0
2023,Kebili,250000.0
2024,Kebili,285000.0
2002,Tozeur,37000.0
2003,Tozeur,36500.0
2004,Tozeur,38000.0
2005,Tozeur,33600.0
2006,Tozeur,38000.0
2007,Tozeur,32750.0
2008,Tozeur,38500.0
2009,Tozeur,41000.0
2010,Tozeur,44000.0
2011,Tozeur,44500.0
2012,Tozeur,42500.0
2013,Tozeur,47500.0
2014,Tozeur,51850.0
2015,Tozeur,51090.0
2016,Tozeur,48500.0
2017,Tozeur,58240.0
2018,Tozeur,50504.0
2019,Tozeur,56069.0
2020,Tozeur,66000.0
2021,Tozeur,57900.0
2022,Tozeur,66662.0
2023,Tozeur,56459.99999999999
2024,Tozeur,69170.0
