governorate,year,aquifer_type,resources_Mm3,exploitation_Mm3,exploitation_rate_pct,well_count,wells_equipped
Gabes,2024,deep_total,155.8,135.3,86.8421052631579,342,292.0
Gabes,2024,shallow_total,24.38,28.1,115.2584085315833,3354,2946.0
Gafsa,2023,shallow_total,33.3,54.38999999999999,163.3333333333333,8906,6991.0
Gafsa,2024,shallow_total,33.3,54.38999999999999,163.3333333333333,8956,6991.0
Kebili,2022,deep_total,236.7,539.58,227.9594423320659,270,
Kebili,2022,shallow_total,5.49,0.17,3.096539162112933,306,
Kebili,2023,deep_total,236.7,545.49,230.4562737642586,270,
Kebili,2023,shallow_total,5.49,0.17,3.096539162112933,306,
Tozeur,2021,deep_total,227.2,159.67,70.27728873239437,282,272.0
Tozeur,2021,shallow_total,48.1,45.32000000000001,94.22037422037424,6229,5576.0
Tozeur,2022,deep_total,227.2,159.67,70.27728873239437,282,272.0
Tozeur,2022,shallow_total,48.1,45.32000000000001,94.22037422037424,6229,5576.0
Tozeur,2023,deep_total,227.2,155.26,68.33626760563381,286,257.0
Tozeur,2023,shallow_total,48.1,46.86000000000001,97.42203742203743,6442,5727.0
Tozeur,2024,deep_total,227.2,161.52,71.09154929577466,286,258.0
Tozeur,2024,shallow_total,48.1,47.86000000000001,99.50103950103951,6577,5833.0
