feature,mean_abs_shap
LST_Night_C_std_mean,1.1584755
anomaly_t_minus_1,1.0984011
dewpoint_2m_C_std,0.47769502
LST_Day_C_std_mean,0.2992115
wind_speed_ms_pollination_max,0.29472324
LST_Night_C_std_std,0.27966642
DTR_std,0.25672817
wind_speed_ms_pollination_mean,0.2427452
dewpoint_2m_K_mean_max,0.23308563
solar_rad_Jm2_mean_max,0.22663127
precip_m_mean_min,0.22422127
water_deficit_proxy_mean,0.18717206
tws_trend_cm,0.1793078
LST_Day_C_max_max,0.17417674
LST_Day_C_mean_min,0.16469729
solar_rad_Jm2_mean_std,0.15956686
ET0_proxy_min,0.15922065
LST_Night_C_std_min,0.14493176
wind_u_ms_mean_min,0.14297652
DTR_harvest_mean,0.14227305
VPD_kPa_harvest_max,0.1389789
NDVI_std_std,0.13042708
GDD_18_std,0.12252153
LST_Day_C_max_std,0.122229554
DTR_fruit_dev_mean,0.12189741
water_deficit_proxy_min,0.113422096
wind_v_ms_mean_min,0.1100845
LST_mean_C_min,0.1093509
DTR_pollination_mean,0.103508696
LST_Day_C_std_min,0.10161047
LST_mean_C_max,0.10063452
precip_m_mean_std,0.09868195
NDVI_max_mean,0.09575488
tws_anomaly_cm_mean,0.09565288
rain_days_std,0.08897714
NDVI_std_mean,0.087765045
wind_v_ms_mean_mean,0.08341523
VPD_kPa_harvest_mean,0.082401335
GDD_18_pollination_mean,0.0818993
water_deficit_proxy_std,0.077568516
GDD_18_fruit_dev_mean,0.07612398
wind_speed_ms_harvest_max,0.074289896
precip_total_mm_mean,0.074147716
LST_Night_C_mean_max,0.07394345
DTR_pollination_max,0.072420456
LST_Night_C_std_max,0.068888575
precip_m_mean_mean,0.06847979
VPD_kPa_pollination_mean,0.06711985
solar_rad_Jm2_mean_min,0.066123925
DTR_sum,0.0658881
wind_speed_ms_std,0.06548681
wind_u_ms_mean_max,0.06520563
precip_total_mm_std,0.0595762
wind_speed_ms_harvest_mean,0.05702286
VPD_kPa_max,0.054725796
rain_days_mean,0.05414764
tws_anomaly_cm_std,0.051684555
wind_speed_ms_min,0.05163737
DTR_harvest_max,0.05118567
wind_v_ms_mean_std,0.04812682
LST_Night_C_max_min,0.047361583
DTR_min,0.046007954
water_deficit_proxy_max,0.04516417
wind_u_ms_mean_mean,0.043830294
LST_Day_C_std_max,0.043549124
dewpoint_2m_C_min,0.042694233
solar_rad_Jm2_mean_mean,0.04187343
LST_Day_C_mean_mean,0.04088932
wind_speed_ms_fruit_dev_mean,0.040509705
LST_Night_C_mean_std,0.039962202
LST_mean_C_std,0.037526496
DTR_max,0.0357709
VPD_kPa_pollination_max,0.03490886
dewpoint_2m_K_mean_mean,0.03394403
LST_Day_C_mean_max,0.029176587
LST_Day_C_max_min,0.029141285
ET0_proxy_std,0.02907327
wind_v_ms_mean_max,0.028820647
GDD_18_harvest_max,0.028277522
precip_total_mm_min,0.028266335
LST_Day_C_std_std,0.027595717
VPD_kPa_sum,0.02635507
VPD_kPa_min,0.025242692
precip_max_daily_mm_max,0.022631912
rain_days_min,0.021251349
GDD_18_pollination_max,0.019893574
LST_Night_C_mean_min,0.019251924
temp_2m_K_mean_min,0.016611582
GDD_18_annual,0.015617999
wind_speed_ms_mean,0.014955085
wind_u_ms_mean_std,0.014088686
LST_Day_C_mean_std,0.013276125
DTR_fruit_dev_max,0.013171412
temp_2m_K_mean_mean,0.011274941
rain_days_max,0.009779205
LST_Night_C_mean_mean,0.008038778
temp_2m_K_mean_std,0.007917668
heat_stress_flag_mean,0.0020106821
NDVI_std_min,0.0
sirocco_risk_mean,0.0
GDD_18_min,0.0
heat_stress_flag_max,0.0
heat_stress_flag_min,0.0
sirocco_risk_max,0.0
sirocco_risk_min,0.0
sirocco_risk_std,0.0
sirocco_months,0.0
gov_Gabes,0.0
gov_Gafsa,0.0
gov_Kebili,0.0
gov_Tozeur,0.0
